AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
CT261-A,Slow Seller,Active,CT261 END TABLE TOP,WHITE FAUX MARBLE TOP,* BOX 1 OF 3 *,0,,2,0,2,,,,,,,,,,
CT261-B,Slow Seller,Active,CT261 END TABLE MIDDLE,HIGH GLOSS GRAY FINISH,* BOX 2 OF 3 *,0,,1,0,1,,,,,,,,,,
CT261-C,Slow Seller,Active,CT261 END TABLE BASE,STAINLESS STEEL,* BOX 3 OF 3 *,0,,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT262,Slow Seller,Active,CT262 CONSOLE TABLE,WHITE FAUX MARBLE TOP W/ HIGH GLOSS GRAY FINISH,STAINLESS STEEL BASE,239,252,,,16,,,,,,,,,,
CT262-A,Slow Seller,Active,CT262 CONSOLE TABLE TOP,WHITE FAUX MARBLE,* BOX 1 OF 3 *,0,,16,0,16,,,,,,,,,,
CT262-B,Slow Seller,Active,CT262 CONSOLE TABLE MIDDLE,HIGH GLOSS GRAY,* BOX 2 OF 3 *,0,,16,0,16,,,,,,,,,,
CT262-C,Slow Seller,Active,CT262 CONSOLE TABLE BASE,STAINLESS STEEL,* BOX 3 OF 3 *,0,,16,0,16,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT307,Slow Seller,Active,CT307 COFFEE TABLE W/ (2) DRAWER,ORANGE COLOR,BONDED LEATHER,332,315,,,20,,,,,,,,,,
CT307-1,Slow Seller,Active,CT307 COFFEE TABLE BODY,ORANGE COLOR,BONDED LEATHER,0,,22,0,22,,,,,,,,,,
CT307-2,Slow Seller,Active,CT307 COFFEE TABLE TOP GLASS,BLACK COLOR,* PC 2 OF 3 *,0,,20,0,20,,,,,,,,,,
CT307-3,Slow Seller,Active,CT307 COFFEE TABLE LEGS,* PC 3 OF 3 *,*,0,,20,0,20,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT308,Slow Seller,Active,CT308 COFFEE TABLE W/ (2) DRAWER,BLACK COLOR,BONDED LEATHER,332,315,,,10,,,,,,,,,,
CT308-1,Slow Seller,Active,CT308 COFFEE TABLE BODY,BLACK COLOR,BONDED LEATHER,0,,13,3,10,,,,,,,,,,
CT308-2,Slow Seller,Active,CT308 COFFEE TABLE TOP GLASS,BLACK COLOR,* PC 2 OF 3 *,0,,14,3,11,,,,,,,,,,
CT308-3,Slow Seller,Active,CT308 COFFEE TABLE LEGS,* PC 3 OF 3 *,,0,,13,3,10,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT309,Slow Seller,Active,CT309 COFFEE TABLE W/ (2) DRAWER,CLOUD COLOR,LEATH-AIRE,457,435,,,4,,,,,,,,,,
CT309-1,Slow Seller,Active,CT309 COFFEE TABLE BODY,CLOUD COLOR,LEATH-AIRE,0,,4,0,4,,,,,,,,,,
CT309-2,Slow Seller,Active,CT309 COFFEE TABLE TOP GLASS,FROSTED COLOR,* PC 2 OF 3 *,0,,4,0,4,,,,,,,,,,
CT309-3,Slow Seller,Active,CT309 COFFEE TABLE LEGS,* PC 3 OF 3 *,,0,,10,0,10,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT42-45,Slow Seller,Active,2PC. COFFEE SET (C+E),HIGH GLOSS D. GRAY,* 2 BOXES *,318,334,,,18,,,,,,,,,,
CT42-45-45,Slow Seller,Active,3PC. COFFEE SET (C+E+E),HIGH GLOSS D. GRAY,* 3 BOXES *,459,483,,,14,,,,,,,,,,
CT42,Slow Seller,Active,CT42 COFFEE TABLE,HIGH GLOSS D. GRAY,* 1 BOX *,139,146,18,0,18,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT45,Slow Seller,Active,CT45 END TABLE,HIGH GLOSS D. GRAY,* 1 BOX *,115,121,28,0,28,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT488-2E-CO,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),RUSTIC GRAY,* 4 BOXES *,1095,1152,,,8,,,,,,,,,,
CT488-9,Slow Seller,Active,2PC. COFFEE SET (C+E),RUSTIC GRAY,* 2 BOXES *,555,584,,,16,,,,,,,,,,
CT488-9-9,Slow Seller,Active,3PC. COFFEE SET (C+2E),RUSTIC GRAY,* 3 BOXES *,744,783,,,8,,,,,,,,,,
CT488-9-90,Slow Seller,Active,3PC. COFFEE SET (C+E+S),RUSTIC GRAY,* 3 BOXES *,906,953,,,16,,,,,,,,,,
CT488,Slow Seller,Active,CT488 COFFEE TABLE,RUSTIC GRAY,* 1 BOX *,273,259,31,0,31,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT489,Slow Seller,Active,CT489 END TABLE,RUSTIC GRAY,* 1 BOX *,136,129,16,0,16,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT490,Slow Seller,Active,CT490 CONSOLE TABLE,RUSTIC GRAY,* 1 BOX *,262,249,50,0,50,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT510,Slow Seller,Active,CT510 COFFEE TABLE,HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,176,185,,,36,,,,,,,,,,
CT510-1,Slow Seller,Active,2PC. COFFEE SET (C+E),HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,333,350,,,0,,,,,,,,,,
CT510-1-1,Slow Seller,Active,3PC. COFFEE SET (C+2E),HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,490,515,,,0,,,,,,,,,,
CT510-1-1-2,Slow Seller,Active,4PC. COFFEE SET (C+2E+S),HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,688,724,,,0,,,,,,,,,,
CT510-1-2,Slow Seller,Active,3PC. COFFEE SET (C+E+S),HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,532,559,,,0,,,,,,,,,,
CT510-B,Slow Seller,Active,CT510 COFFEE TABLE BASE,STAINLESS STEEL,* BOX 3 OF 3 *,0,,36,0,36,,,,,,,,,,
CT510-M,Slow Seller,Active,CT510 COFFEE TABLE VERTICAL SUPPORT,HIGH GLOSS WHITE COLOR,* BOX 2 OF 3 *,0,,39,0,39,,,,,,,,,,
CT510-T,Slow Seller,Active,CT510 COFFEE TABLE GLASS TOP,CLEAR COLOR,* BOX 1 OF 3 *,0,,36,0,36,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT511,Slow Seller,Active,CT511 END TABLE,HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,157,165,,,0,,,,,,,,,,
CT511-B,Slow Seller,Active,CT511 END TABLE BASE,STAINLESS STEEL,* BOX 3 OF 3 *,0,,0,0,0,,,,,,,,,,
CT511-M,Slow Seller,Active,CT511 END TABLE VERTICAL SUPPORT,HIGH GLOSS WHITE COLOR,* BOX 2 OF 3 *,0,,0,0,0,,,,,,,,,,
CT511-T,Slow Seller,Active,CT511 END TABLE GLASS TOP,CLEAR COLOR,* BOX 1 OF 3 *,0,,0,0,0,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT512,Slow Seller,Active,CT512 CONSOLE TABLE,HIGH GLOSS WHITE COLOR,STAINLESS STEEL BASE,199,209,,,1,,,,,,,,,,
CT512-B,Slow Seller,Active,CT512 CONSOLE TABLE BASE,STAINLESS STEEL ,* BOX 3 OF 3 *,0,,2,0,2,,,,,,,,,,
CT512-M,Slow Seller,Active,CT512 CONSOLE TABLE VERTICLE SUPPORT,HIGH GLOSS WHITE COLOR,* BOX 2 OF 3 *,0,,1,0,1,,,,,,,,,,
CT512-T,Slow Seller,Active,CT512 CONSOLE TABLE GLASS TOP,CLEAR COLOR,* BOX 1 OF 3 *,0,,1,0,1,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT75-W,Slow Seller,Active,CT75 COFFEE TABLE,HIGH GLOSS WHITE COLOR,* 2 BOXES *,215,226,,,247,,,,,,,,,,
CT75-1,Slow Seller,Active,CT75 COFFEE TABLE GLASS TOP,CLEAR COLOR,* BOX 1 OF 2 *,0,,247,0,247,,,,,8/4/2022,50,,,,
CT75-2,Slow Seller,Active,CT75 COFFEE TABLE BASE,HIGH GLOSS WHITE COLOR,* BOX 2 OF 2 *,0,,253,0,253,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
CT76,Slow Seller,Active,CT76 COFFEE TABLE,HIGH GLOSS BLACK COLOR,* 2 BOXES *,271,285,,,0,,,,,,,,,,
CT76-1,Slow Seller,Active,CT76 COFFEE TABLE GLASS TOP,CLEAR COLOR,* BOX 1 OF 2 *,0,,0,0,0,,,,,,,,,,
CT76-2,Slow Seller,Active,CT76 COFFEE TABLE BASE,HIGH GLOSS BLACK COLOR,* BOX 2 OF 2 *,0,,21,0,21,,,,,,,,,,
