AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B50-QB,Discontinued,Active,B50 QUEEN BED,BLACK VELVET,* 4 BOXES *,420,399,,,1,,,,,,,,,,
B50-CK-SR,Discontinued,Active,B50 CAL. KING SIDE RAILS,BLACK VELVET,* BOX 3 OF 4  *,0,,3,0,3,,,,,,,,,,
B50-EK-SR,Discontinued,Active,B50 EASTERN KING SIDE RAILS,BLACK VELVET,* BOX 3 OF 4 *,0,,0,0,0,,,,,,,,,,
B50-EKCK-FB,Discontinued,Active,B50 EASTERN & CAL. KING FOOTBOARD,DARK GRAY VELVET,* BOX 2 OF 4 *,0,,3,0,3,,,,,,,,,,
B50-EKCK-HB,Discontinued,Active,B50 EASTERN & CAL. KING HEADBOARD,BLACK VELVET,* BOX 1 OF 4 *,0,,3,0,3,,,,,,,,,,
B50-EKCK-SL,Discontinued,Active,B50 EASTERN & CAL. KING SLATS,* BOX 4 OF 4 *,,0,,3,0,3,,,,,,,,,,
B50-Q-FB,Discontinued,Active,B50 QUEEN FOOTBOARD,BLACK VELVET,* BOX 2 OF 4 *,0,,1,0,1,,,,,,,,,,
B50-Q-HB,Discontinued,Active,B50 QUEEN HEADBOARD,BLACK VELVET,* BOX 1 OF 4 *,0,,1,0,1,,,,,,,,,,
B50-Q-SLATS,Discontinued,Active,B50 QUEEN SLATS,* BOX 4 OF 4 *,,0,,1,0,1,,,,,,,,,,
B50-Q-SR,Discontinued,Active,B50 QUEEN BED SIDE RAIL,BLACK VELVET,* BOX 3 OF 4 *,0,,1,0,1,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
B51-CKB,Discontinued,Active,B51 CAL. KING BED,FAUX WHITE LEATHER,* 4 BOXES *,473,449,,,1,,,,,,,,,,
B51-EKB,Discontinued,Active,B51 EASTERN KING BED,WHITE FAUX LEATHER,* 4 BOXES *,525,499,,,0,,,,,,,,,,
B51-QB,Discontinued,Active,B51 QUEEN BED,WHITE FAUX LEATHER,* 4 BOXES *,420,399,,,1,,,,,,,,,,
B51-CK-SR,Discontinued,Active,B51 CAL. KING SIDE RAILS,WHITE FAUX LEATHER,* BOX 3 OF 4 *,0,,1,0,1,,,,,,,,,,
B51-EK-SR,Discontinued,Active,B51 EASTERN KING SIDE RAILS,WHITE FAUX LEATHER,* BOX 3 OF 4 *,0,,0,0,0,,,,,,,,,,
B51-EKCK-FB,Discontinued,Active,B51 EASTERN & CAL. KING FOOTBOARD,WHITE FAUX LEATHER,* BOX 2 OF 4 *,0,,1,0,1,,,,,,,,,,
