AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B150-FB,Top Seller,Active,B150 FULL BED,WHITE FAUX LEATHER,* 1 BOX *,161,169,21,6,15,,,,,8/30/2022,70,,,,
B150-QB,Top Seller,Active,B150 QUEEN BED,WHITE FAUX LEATHER,* 1 BOX *,171,179,25,3,22,,,,,8/30/2022,85,,,,
B150-TB,,Active,B150 TWIN BED,WHITE FAUX LEATHER,* 1 BOX *,142,149,32,2,30,,,,,8/30/2022,50,,,,
 ,,,,,,,,,,,,,,,,,,,,
B151,,Active,B151 QUEEN & FULL HEADBOARD (ONLY),BLACK FAUX LEATHER,* 1 BOX *,123,129,47,1,46,,,,,8/30/2022,50,,,,
 ,,,,,,,,,,,,,,,,,,,,
B152,,Active,B152 QUEEN & FULL HEADBOARD (ONLY),WHITE FAUX LEATHER,* 1 BOX *,123,129,48,0,48,,,,,8/30/2022,50,,,,
 ,,,,,,,,,,,,,,,,,,,,
B810-CK3,,Active,B810 3PC. CAL. KING SET,GRAY COLOR W/ GRAY VELVET FABRIC,(CK +DR +N),1596,1679,,,43,,,,,,,,,,
B810-CK4C,,Active,B810 4PC. CAL. KING SET W/ EXTRA CHEST,GRAY COLOR W/ GRAY VELVET FABRIC,(CK +DR +M +N +C),2293,2413,,,43,,,,,,,,,,
B810-CK4N,,Active,B810 4PC. CAL. KING SET W/ EXTRA NIGHTSTAND,GRAY COLOR W/ GRAY VELVET FABRIC,(CK +DR +M +2N),2004,2109,,,43,,,,,,,,,,
B810-CK4NC,,Active,B810 4PC. CAL. KING SET W/ EXTRA CHEST & NS,GRAY COLOR W/ GRAY VELVET FABRIC,(CK +DR +M +2N +C),2526,2658,,,43,,,,,,,,,,
B810-CKB,Top Seller,Active,B810 CAL. KING BED,GRAY COLOR W/ GRAY VELVET FABRIC,* 4 BOXES *,756,795,,,43,,,,,,,,,,
B810-DRM,,Active,B810 & B811 DRESSER + MIRROR,GRAY COLOR,* 2 BOXES *,1,1,,,128,,,,,,,,,,
B810-EK3,,Active,B810 3PC. EASTERN KING SET,GRAY COLOR W/ GRAY VELVET FABRIC,(EK +DR +N),1596,1679,,,54,,,,,,,,,,
B810-EK4C,,Active,B810 4PC. EASTERN KING SET W/ EXTRA SET,GRAY COLOR W/ GRAY VELVET FABRIC,(EK +DR +M +N +C),2293,2413,,,54,,,,,,,,,,
B810-EK4N,,Active,B810 4PC. EASTERN KING SET W/ EXTRA NIGHSTAND,GRAY COLOR W/ GRAY VELVET FABRIC,(EK +DR +M +2N),2004,2109,,,54,,,,,,,,,,
B810-EK4NC,,Active,B810 4PC. EASTERN KING SET W/ EXTRA CHEST & BS,GRAY COLOR W/ GRAY VELVET FABRIC,(EK +DR +M +2N +C),2526,2658,,,54,,,,,,,,,,
